Sample ID,Participant ID,Pair ID,Year,Date,Time,Water System,Population,"Source (1 = SW, GW
 = GW, Mix = Mix
)","Disinfectant (1 = Mono, 2 = Chlorine)",Sample Type,"Filter = 1, Softener = 2",Monochloramine,Chlorine,Ammonia,Nitrate,Nitrite,pH,Temperature,Conductivity,Turbidity,TDS,ORP,TOC,THMs,Lead,HPC 1:1 (MPN/100ml),HPC 1:10 (MPN/100ml),HPC 1:100 (MPN/100ml),HPC,LogHPC
181,40,31,2024,3-Apr,11:50 AM,Austin Water,,SW,1,AF,0,2.13,0.09,0.5,1.2,0.018,9.63,21,390,0.02,288,,3.062,,,,,,,
182,40,31,2024,3-Apr,12:08 PM,Austin Water,,SW,1,Out,0,2.17,0.05,0.5,1.2,0.016,9.68,20.5,379,0,280.1,,4.296,,,22.2,87,200,87,1.939519253
183,43,32,2024,3-Apr,12:30 PM,Austin Water,,SW,1,FF,0,2.12,0.08,0.5,1.1,0.02,9.53,24.1,373,0,273,,2.8,,,13.7,10,100,13.7,1.136720567
184,43,32,2024,3-Apr,12:35 PM,Austin Water,,SW,1,AF,0,2.26,0.06,0.5,1.2,0.013,9.67,22.8,370,0,272,,2.799,,,,,,,
185,43,32,2024,3-Apr,12:50 PM,Austin Water,,SW,1,Out,0,2.33,0.07,0.5,1.2,0.019,9.66,22.8,370,0.05,272,,9.36,,,40.6,10,100,40.6,1.608526034
186,90,33,2024,3-Apr,1:23 AM,Austin Water,,SW,1,FF,0,1.95,0.09,0.5,1.4,0.052,9.43,25.4,389,0,283,,2.898,,,30.6,10,100,30.6,1.485721426
187,90,33,2024,3-Apr,1:28 AM,Austin Water,,SW,1,AF,0,2.19,0.08,0.5,1.3,0.046,9.53,22.5,387,0,284,,2.867,,,,,,,
188,90,33,2024,3-Apr,1:40 AM,Austin Water,,SW,1,Out,0,2.01,0.05,0.5,1.3,0.057,9.53,22.2,385,0.06,284,,3.434,,,200.5,591,750,591,2.771587481
189,7,34,2024,5-Apr,10:18 AM,Austin Water,,SW,1,FF,0,1.66,0.09,0.5,1,0.097,9.49,26.2,282,0.01,278,,3.092,,,200.5,238,200,200.5,2.302114377
190,7,34,2024,5-Apr,10:23 AM,Austin Water,,SW,1,AF,0,1.94,0.07,0.5,1.3,0.084,9.64,22.4,275,0.04,276,,2.937,,,,,,,
191,7,34,2024,5-Apr,10:34 AM,Austin Water,,SW,1,Out,0,1.93,0.05,0.5,1.4,0.096,9.65,22.1,276,0.11,277,,7.92,,,200.5,2005,100,200.5,2.302114377
192,79,35,2024,5-Apr,11:10 AM,Austin Water,,SW,1,FF,0,1.77,0.05,0.5,1.3,0.12,9.48,24.9,384,0.03,280,,2.668,,,22.2,100,100,100,2
193,79,35,2024,5-Apr,11:15 AM,Austin Water,,SW,1,AF,0,1.6,,0.5,1.3,0.122,9.6,22.7,379,0.08,278,,2.764,,,,,,,
194,79,35,2024,5-Apr,11:32 AM,Austin Water,,SW,1,Out,0,1.39,0.07,0.5,1.4,0.121,9.57,22.2,379,0.05,278,,3.482,,,1,10,100,10,1
195,82,36,2024,5-Apr,11:52 AM,Austin Water,,SW,1,FF,0,0.66,0.06,0.5,1.1,0.109,9.54,24.1,383,0.1,281,,2.763,,,200.5,831,1110,831,2.919601024
196,82,36,2024,5-Apr,11:57 AM,Austin Water,,SW,1,AF,0,1.14,,0.5,1.2,0.111,9.45,22.7,385,0.03,279,,2.877,,,,,,,
197,82,36,2024,5-Apr,12:07 PM,Austin Water,,SW,1,Out,0,1.17,0.11,0.5,1.3,0.117,9.58,22.6,379,0.15,279,,3.489,,,200.5,429,100,200.5,2.302114377
198,98,37,2024,5-Apr,9:40 AM,Austin Water,,SW,1,FF,0,1.94,0.09,0.5,1.3,0.1,9.4,24.9,411,0.04,304,,2.781,,,200.5,2005,1780,1780,3.250420002
199,98,37,2024,5-Apr,9:45 AM,Austin Water,,SW,1,AF,0,1.87,0.08,0.5,1.4,0.095,9.59,22.7,378,0.03,379,,2.732,,,,,,,
